ManufacturerName,CustomerName,Customer,City,State,Stockcode,ItemFamily,Amount,PYTD Sales,YTD Growth,% Change,TransferOrNot
Legend,WINNELSON,WINSUPPLY - PLYMOUTH-#085 - PLYMOUTH - 187363,PLYMOUTH,MA,313-405                  ,420 - Water Service Fittings        ,$0,$24,($24),-100.0%,Direct
Legend,WINNELSON,WINSUPPLY PORTLAND ME CO (#040) - SOUTH PORTLAND - 180358,SOUTH PORTLAND,ME,313-405                  ,420 - Water Service Fittings        ,$0,$16,($16),-100.0%,Direct
Legend,"WIT-WAY SUPPLY, INC","WIT-WAY SUPPLY, INC. - ROCHESTER - 176976",ROCHESTER,NH,313-405                  ,420 - Water Service Fittings        ,$0,$15,($15),-100.0%,Direct
Legend,PLIMPTON & HILLS,PLIMPTON & HILLS CORP -AD#PH46 - MANCHESTER - 178293,MANCHESTER,CT,313-405L                 ,420 - Water Service Fittings        ,$40,$0,$40,,Direct
Legend,REPUBLIC PLUMBING SUPPLY,REPUBLIC PLUMBING SUPPLY #109250 - NORWOOD - 11341,NORWOOD,MA,313-406                  ,420 - Water Service Fittings        ,$0,$4,($4),-100.0%,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP- ADGG04 - LONDONDERRY - 179844,LONDONDERRY,NH,313-406                  ,420 - Water Service Fittings        ,$48,$10,$38,397.0%,Direct
Legend,WINNELSON,WINSUPPLY PORTLAND ME CO (#040) - SOUTH PORTLAND - 180358,SOUTH PORTLAND,ME,313-406                  ,420 - Water Service Fittings        ,$2,$0,$2,,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP- ADGG04 - LONDONDERRY - 179844,LONDONDERRY,NH,313-407                  ,420 - Water Service Fittings        ,$0,$11,($11),-100.0%,Direct
Legend,WINNELSON,WINSUPPLY PORTLAND ME CO (#040) - SOUTH PORTLAND - 180358,SOUTH PORTLAND,ME,313-407                  ,420 - Water Service Fittings        ,$8,$0,$8,,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - GREENVILLE - 11383,GREENVILLE,RI,313-408                  ,420 - Water Service Fittings        ,$27,$0,$27,,Direct
Legend,WINNELSON,WESTPORT WINWATER WORKS CO (#034) - WESTPORT - 178953,WESTPORT,MA,313-408                  ,420 - Water Service Fittings        ,$201,$0,$201,,Direct
Legend,TORRCO,TORRCO - AD#TS28 - WATERBURY - 11523,WATERBURY,CT,313-445                  ,420 - Water Service Fittings        ,$17,$0,$17,,Direct
Legend,WINNELSON,WESTPORT WINWATER WORKS CO (#034) - WESTPORT - 178953,WESTPORT,MA,313-447                  ,420 - Water Service Fittings        ,$111,$0,$111,,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP- ADGG04 - OLD SAYBROOK - 10266,OLD SAYBROOK,NH,313-544                  ,420 - Water Service Fittings        ,$0,$2,($2),-100.0%,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - WARREN - 164436,WARREN,RI,313-594                  ,420 - Water Service Fittings        ,$1,$0,$1,,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP- ADGG04 - LONDONDERRY - 179844,LONDONDERRY,NH,313-594                  ,420 - Water Service Fittings        ,$0,$0,$0,,Direct
